ORIGIN,DESTINATION,TOTAL SEATS
Thailand,China,264063
Thailand,Denmark,2912
Thailand,Russian Federation,14009
Thailand,Germany,13392
Thailand,Hong Kong,66072
Thailand,Ukraine,1439
Thailand,Finland,5348
Thailand,Oman,6380
Thailand,Philippines,14168
Thailand,Indonesia,22900
Thailand,Belgium,1605
Thailand,Sweden,2912
Thailand,Vietnam,47628
Thailand,Kenya,1872
Thailand,Switzerland,5632
Thailand,New Zealand,2320
Thailand,Taiwan,36084
Thailand,Pakistan,6870
Thailand,Myanmar,33132
Thailand,Macau,12703
Thailand,Egypt,1204
Thailand,United Arab Emirates,45838
Thailand,Kazakhstan,1494
Thailand,India,56901
Thailand,Brunei Darussalam,1008
Thailand,United Kingdom,11880
Thailand,Malaysia,64849
Thailand,Austria,5686
Thailand,Reunion,524
Thailand,Sri Lanka,6451
Thailand,Japan,60627
Thailand,South Korea,49820
Iraq,Turkey,22228
Iraq,Qatar,12672
Iraq,Czech Republic,187
Iraq,India,884
Iraq,Bahrain,2047
Iraq,Belarus,148
Iraq,Iran,40256
Iraq,China,288
Iraq,Kuwait,1408
Iraq,Russian Federation,296
Iraq,Jordan,5750
Iraq,Germany,1356
Iraq,Oman,692
Iraq,Sweden,360
Iraq,Syria,3509
Iraq,Denmark,720
Iraq,Pakistan,676
Iraq,Egypt,3744
Iraq,United Arab Emirates,15978
Iraq,Lebanon,6647
Iraq,Azerbaijan,993
Iraq,Malaysia,412
Iraq,Austria,1272
Iraq,Greece,615
Mauritania,Algeria,476
Mauritania,Tunisia,426
Mauritania,France,1040
Mauritania,Morocco,1170
Mauritania,Senegal,846
Mauritania,Mali,284
Mauritania,Spain,910
Morocco,Turkey,4662
Morocco,Brazil,2314
Morocco,Qatar,2152
Morocco,Italy,6152
Morocco,Liberia,555
Morocco,Guinea,888
Morocco,France,24334
Morocco,Democratic Republic of the Congo,444
Morocco,Ireland,522
Morocco,Nigeria,111
Morocco,Ivory Coast (Cote d'Ivoire),888
Morocco,Cameroon,666
Morocco,Burkina Faso,576
Morocco,Benin,444
Morocco,Ghana,444
Morocco,Algeria,3752
Morocco,Cape Verde,111
Morocco,Germany,2844
Morocco,Gambia,333
Morocco,Belgium,3061
Morocco,Sierra Leone,444
Morocco,Spain,6031
Morocco,Mauritania,861
Morocco,Netherlands,2280
Morocco,Western Sahara,2775
Morocco,Denmark,1419
Morocco,Poland,428
Morocco,Sweden,534
Morocco,Gabon,444
Morocco,Mali,888
Morocco,Switzerland,1656
Morocco,Angola,236
Morocco,Chad,444
Morocco,Portugal,2451
Morocco,Egypt,2257
Morocco,United Arab Emirates,6360
Morocco,Lebanon,444
Morocco,United Kingdom,3886
Morocco,Tunisia,1443
Morocco,Congo,111
Morocco,Hungary,666
Morocco,Niger,480
Poland,Turkey,1658
Poland,Canada,1512
Poland,Qatar,2080
Poland,Italy,32705
Poland,Czech Republic,4245
Poland,Lithuania,4914
Poland,Malta,3807
Poland,France,17021
Poland,Georgia,2170
Poland,Slovakia,1406
Poland,Ireland,11718
Poland,Norway,28469
Poland,Israel,8344
Poland,Belarus,784
Poland,Singapore,1008
Poland,Iceland,3876
Poland,Slovenia,966
Poland,Germany,67438
Poland,Armenia,560
Poland,Russian Federation,7218
Poland,China,1888
Poland,Kazakhstan,744
Poland,Spain,23049
Poland,Ukraine,15724
Poland,Netherlands,17373
Poland,Denmark,10716
Poland,Finland,5568
Poland,Moldova,624
Poland,United States,5796
Poland,Belgium,12417
Poland,Sweden,23825
Poland,Latvia,2702
Poland,Croatia,738
Poland,Luxembourg,910
Poland,Japan,1260
Poland,Switzerland,8149
Poland,Bulgaria,2198
Poland,Romania,3642
Poland,Estonia,1992
Poland,Portugal,7120
Poland,Morocco,806
Poland,Egypt,1650
Poland,United Arab Emirates,4874
Poland,Serbia,560
Poland,United Kingdom,102644
Poland,Austria,5092
Poland,Greece,8989
Poland,Hungary,3838
Poland,South Korea,1512
Poland,Cyprus,2239
Indonesia,Turkey,6000
Indonesia,United States,768
Indonesia,Saudi Arabia,46678
Indonesia,Australia,93060
Indonesia,Netherlands,3084
Indonesia,Oman,4288
Indonesia,United Arab Emirates,31616
Indonesia,Philippines,9672
Indonesia,Qatar,26192
Indonesia,Papua New Guinea,296
Indonesia,United Kingdom,2124
Indonesia,Malaysia,1008
Indonesia,Vietnam,3232
Indonesia,China,79124
Indonesia,Thailand,42920
Indonesia,Sri Lanka,4352
Indonesia,Japan,67976
Indonesia,South Korea,22356
